team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
CLE,GSW,W,2021-02-15T00:00:00Z,W,E,W
PHI,UTA,W,2021-02-15T00:00:00Z,W,E,W
MIA,LAC,W,2021-02-15T00:00:00Z,W,E,W
DEN,BOS,W,2021-02-16T00:00:00Z,E,W,E
BKN,PHX,L,2021-02-16T00:00:00Z,W,E,E
IND,MIN,L,2021-02-17T00:00:00Z,W,E,E
MIA,GSW,W,2021-02-17T00:00:00Z,W,E,W
DEN,WAS,W,2021-02-17T00:00:00Z,E,W,E
HOU,PHI,W,2021-02-17T00:00:00Z,E,W,E
MIA,SAC,L,2021-02-18T00:00:00Z,W,E,E
BKN,LAL,L,2021-02-18T00:00:00Z,W,E,E
DET,MEM,W,2021-02-19T00:00:00Z,W,E,W
DEN,CLE,L,2021-02-19T00:00:00Z,E,W,W
GSW,ORL,W,2021-02-19T00:00:00Z,E,W,E
OKC,MIL,W,2021-02-19T00:00:00Z,E,W,E
TOR,MIN,L,2021-02-19T00:00:00Z,W,E,E
SAC,CHI,W,2021-02-20T00:00:00Z,E,W,E
WAS,POR,L,2021-02-20T00:00:00Z,W,E,E
MIA,LAL,L,2021-02-20T00:00:00Z,W,E,E
GSW,CHA,W,2021-02-20T00:00:00Z,E,W,E
MIN,NYK,W,2021-02-21T00:00:00Z,E,W,E
SAC,MIL,W,2021-02-21T00:00:00Z,E,W,E
OKC,CLE,L,2021-02-21T00:00:00Z,E,W,W
BOS,NOP,W,2021-02-21T00:00:00Z,W,E,W
BKN,LAC,L,2021-02-21T00:00:00Z,W,E,E
DEN,ATL,W,2021-02-21T00:00:00Z,E,W,E
CHI,HOU,L,2021-02-22T00:00:00Z,W,E,E
WAS,LAL,L,2021-02-22T00:00:00Z,W,E,E
CHA,UTA,W,2021-02-22T00:00:00Z,W,E,W
MIA,OKC,L,2021-02-22T00:00:00Z,W,E,E
SAC,BKN,W,2021-02-23T00:00:00Z,E,W,E
WAS,LAC,W,2021-02-23T00:00:00Z,W,E,W
MIN,MIL,W,2021-02-23T00:00:00Z,E,W,E
GSW,NYK,L,2021-02-23T00:00:00Z,E,W,W
BOS,DAL,W,2021-02-23T00:00:00Z,W,E,W
CHA,PHX,L,2021-02-24T00:00:00Z,W,E,E
MIN,CHI,W,2021-02-24T00:00:00Z,E,W,E
GSW,IND,L,2021-02-24T00:00:00Z,E,W,W
DET,NOP,W,2021-02-24T00:00:00Z,W,E,W
HOU,CLE,W,2021-02-24T00:00:00Z,E,W,E
DAL,PHI,W,2021-02-25T00:00:00Z,E,W,E
WAS,DEN,L,2021-02-25T00:00:00Z,W,E,E
SAC,NYK,W,2021-02-25T00:00:00Z,E,W,E
NOP,MIL,W,2021-02-25T00:00:00Z,E,W,E
SAC,DET,L,2021-02-26T00:00:00Z,E,W,W
UTA,MIA,W,2021-02-26T00:00:00Z,E,W,E
ATL,OKC,W,2021-02-26T00:00:00Z,W,E,W
HOU,TOR,W,2021-02-26T00:00:00Z,E,W,E
PHX,CHI,L,2021-02-26T00:00:00Z,E,W,W
CHA,GSW,W,2021-02-26T00:00:00Z,W,E,W
UTA,ORL,L,2021-02-27T00:00:00Z,E,W,W
MIN,WAS,W,2021-02-27T00:00:00Z,E,W,E
DAL,BKN,L,2021-02-27T00:00:00Z,E,W,W
CHA,SAC,L,2021-02-28T00:00:00Z,W,E,E
LAC,MIL,W,2021-02-28T00:00:00Z,E,W,E
BKN,SAS,L,2021-03-01T00:00:00Z,W,E,E
CLE,HOU,L,2021-03-01T00:00:00Z,W,E,E
DEN,CHI,L,2021-03-01T00:00:00Z,E,W,W
CHA,POR,W,2021-03-01T00:00:00Z,W,E,W
DAL,ORL,L,2021-03-01T00:00:00Z,E,W,W
NYK,SAS,W,2021-03-02T00:00:00Z,W,E,W
MEM,WAS,L,2021-03-02T00:00:00Z,E,W,W
LAC,BOS,W,2021-03-02T00:00:00Z,E,W,E
DEN,MIL,L,2021-03-02T00:00:00Z,E,W,W
UTA,PHI,W,2021-03-03T00:00:00Z,E,W,E
BKN,HOU,L,2021-03-03T00:00:00Z,W,E,E
CHI,NOP,L,2021-03-03T00:00:00Z,W,E,E
CHA,MIN,L,2021-03-03T00:00:00Z,W,E,E
MIL,MEM,L,2021-03-04T00:00:00Z,W,E,E
LAC,WAS,W,2021-03-04T00:00:00Z,E,W,E
DEN,IND,L,2021-03-04T00:00:00Z,E,W,W
MIA,NOP,L,2021-03-04T00:00:00Z,W,E,E
WAS,MEM,W,2021-03-10T00:00:00Z,W,E,W
ORL,SAS,W,2021-03-12T00:00:00Z,W,E,W
CLE,NOP,W,2021-03-12T00:00:00Z,W,E,W
IND,LAL,W,2021-03-12T00:00:00Z,W,E,W
IND,PHX,L,2021-03-13T00:00:00Z,W,E,E
NYK,OKC,L,2021-03-13T00:00:00Z,W,E,E
SAC,ATL,W,2021-03-13T00:00:00Z,E,W,E
SAS,PHI,W,2021-03-14T00:00:00Z,E,W,E
BOS,HOU,L,2021-03-14T00:00:00Z,W,E,E
SAS,DET,L,2021-03-15T00:00:00Z,E,W,W
IND,DEN,W,2021-03-15T00:00:00Z,W,E,W
SAC,CHA,W,2021-03-15T00:00:00Z,E,W,E
ATL,HOU,L,2021-03-16T00:00:00Z,W,E,E
UTA,BOS,L,2021-03-16T00:00:00Z,E,W,W
OKC,CHI,W,2021-03-16T00:00:00Z,E,W,E
SAC,WAS,L,2021-03-17T00:00:00Z,E,W,W
MIA,MEM,W,2021-03-17T00:00:00Z,W,E,W
CHA,DEN,W,2021-03-17T00:00:00Z,W,E,W
SAS,CHI,L,2021-03-17T00:00:00Z,E,W,W
OKC,ATL,W,2021-03-18T00:00:00Z,E,W,E
CHA,LAL,W,2021-03-18T00:00:00Z,W,E,W
UTA,WAS,W,2021-03-18T00:00:00Z,E,W,E
DET,HOU,L,2021-03-19T00:00:00Z,W,E,E
CHI,DEN,W,2021-03-19T00:00:00Z,W,E,W
SAC,BOS,L,2021-03-19T00:00:00Z,E,W,W
SAS,CLE,L,2021-03-19T00:00:00Z,E,W,W
UTA,TOR,L,2021-03-19T00:00:00Z,E,W,W
SAS,MIL,W,2021-03-20T00:00:00Z,E,W,E
ATL,LAL,L,2021-03-20T00:00:00Z,W,E,E
CHA,LAC,W,2021-03-20T00:00:00Z,W,E,W
SAC,PHI,W,2021-03-20T00:00:00Z,E,W,E
CHA,SAS,L,2021-03-22T00:00:00Z,W,E,E
ATL,LAC,W,2021-03-22T00:00:00Z,W,E,W
SAC,CLE,L,2021-03-22T00:00:00Z,E,W,W
UTA,CHI,L,2021-03-22T00:00:00Z,E,W,W
BOS,MEM,W,2021-03-22T00:00:00Z,W,E,W
TOR,HOU,W,2021-03-22T00:00:00Z,W,E,W
PHX,MIA,L,2021-03-23T00:00:00Z,E,W,W
BKN,POR,L,2021-03-23T00:00:00Z,W,E,E
PHI,GSW,L,2021-03-23T00:00:00Z,W,E,E
DEN,ORL,L,2021-03-23T00:00:00Z,E,W,W
PHX,ORL,W,2021-03-24T00:00:00Z,E,W,E
ATL,SAC,W,2021-03-24T00:00:00Z,W,E,W
DEN,TOR,W,2021-03-24T00:00:00Z,E,W,E
BKN,UTA,W,2021-03-24T00:00:00Z,W,E,W
